1,1,1,1988,1,
2,2,1,2031,0,
3,3,1,1886,1,
4,4,0,0,1,
5,5,1,2118,1,
6,6,1,1544,1,
7,7,0,0,1,
8,8,1,1922,1,
9,9,1,1866,1,
10,10,1,1582,1,
11,11,1,2119,0,
12,12,1,1827,1,
13,13,1,1774,0,
14,14,1,1628,0,
15,15,1,2167,1,
16,16,0,0,1,
17,17,1,1529,1,
18,18,1,1920,1,
19,19,0,0,1,
20,20,1,1711,1,
21,21,1,1879,1,
22,22,1,2093,0,
23,23,0,0,1,
24,24,1,2171,1,
25,25,0,0,1,
26,26,1,1537,1,
27,27,1,1739,1,
28,28,1,1948,1,
29,29,1,1670,0,
30,30,1,1585,1,
31,31,1,2148,0,
32,32,0,0,0,
33,33,0,0,1,
34,34,1,1519,1,
35,35,1,2179,1,
36,36,1,1955,1,
37,37,1,1981,1,
38,38,1,2079,1,
39,39,1,1867,1,
40,40,0,0,1,
41,41,1,2173,1,
42,42,1,1620,0,
43,43,0,0,1,
44,44,0,0,0,
45,45,1,2152,0,
46,46,0,0,1,
47,47,1,1748,1,
48,48,1,2133,1,
49,49,0,0,1,
50,50,1,1879,0,
51,51,0,0,1,
52,52,1,1994,1,
53,53,1,1578,1,
54,54,0,0,1,
55,55,0,0,1,
56,56,1,1595,1,
57,57,1,1532,1,
58,58,1,1596,1,
59,59,1,1555,1,
60,60,1,1724,0,
61,61,1,1549,1,
62,62,1,1984,1,
63,63,0,0,1,
64,64,1,1964,1,
65,65,1,1883,1,
66,66,0,0,1,
67,67,1,1528,1,
68,68,1,2169,1,
69,69,1,1559,0,
70,70,1,2002,0,
71,71,1,1783,1,
72,72,0,0,0,
73,73,1,2172,0,
74,74,1,2082,0,
75,75,1,1864,1,
76,76,1,1868,1,
77,77,1,1988,1,
78,78,0,0,1,
79,79,0,0,1,
80,80,1,1597,1,
81,81,1,2118,1,
82,82,1,1544,1,
83,83,1,1778,1,
84,84,1,1922,1,
85,85,1,1866,1,
86,86,1,1582,1,
87,87,0,0,1,
88,88,1,1827,1,
89,89,1,1774,1,
90,90,1,1628,1,
91,91,1,2167,1,
92,92,1,2178,1,
93,93,1,1529,1,
94,94,1,1920,1,
95,95,1,1840,1,
96,96,1,1711,0,
97,97,0,0,1,
98,98,1,2093,1,
99,99,0,0,0,
100,100,1,2171,1,
