1,10,100
1,9,100
1,5,100
2,11,100
2,14,100
2,1,100
3,7,100
3,15,100
3,6,100
3,3,100
4,4,100
4,13,100
4,2,100
5,8,100
5,12,100
5,14,100
5,3,100
6,6,100
6,8,100
7,12,100
7,2,100
8,9,100
8,7,100
8,11,100
9,13,100
9,10,100
9,4,100
9,1,100
10,15,100
10,5,100
11,3,100
11,15,100
11,4,100
11,10,100
12,2,100
12,5,100
12,9,100
13,1,100
13,8,100
13,12,100
14,14,100
14,6,100
14,13,100
15,15,100
15,11,100
16,7,100
16,10,100
16,6,100
16,1,100
17,8,100
17,3,100
17,4,100
18,9,100
18,2,100
18,11,100
18,13,100
19,5,100
19,12,100
19,14,100
19,15,100
20,6,100
20,1,100
20,14,100
20,4,100
21,8,100
21,2,100
22,9,100
22,13,100
22,5,100
22,3,100
23,12,100
23,11,100
24,7,100
24,15,100
24,10,100
24,2,100
25,8,100
25,13,100
26,1,100
26,15,100
27,5,100
27,9,100
27,4,100
28,11,100
28,14,100
29,3,100
29,7,100
29,12,100
30,6,100
30,10,100
31,8,100
31,2,100
31,1,100
32,13,100
32,15,100
33,9,100
33,3,100
33,4,100
34,5,100
34,11,100
34,14,100
35,12,100
35,7,100
36,5,100
36,7,100
36,4,100
37,3,100
37,6,100
37,9,100
38,15,100
38,10,100
39,8,100
39,11,100
40,1,100
40,12,100
40,2,100
41,14,100
41,13,100
42,6,100
42,11,100
43,3,100
43,10,100
43,14,100
44,9,100
44,2,100
44,8,100
45,5,100
45,15,100
46,7,100
46,12,100
46,1,100
47,4,100
47,13,100
47,3,100
48,6,100
48,9,100
49,10,100
49,11,100
50,14,100
50,15,100
50,8,100
51,2,100
51,5,100
52,1,100
52,12,100
52,7,100
53,4,100
53,13,100
53,11,100
54,14,100
54,9,100
54,3,100
55,10,100
55,6,100
55,15,100
56,5,100
56,8,100
57,7,100
57,11,100
58,2,100
58,14,100
59,1,100
59,13,100
59,4,100
60,12,100
60,3,100
61,9,100
61,6,100
62,3,100
62,8,100
62,13,100
63,1,100
63,5,100
63,6,100
64,11,100
64,2,100
64,10,100
65,12,100
65,4,100
66,8,100
66,9,100
67,15,100
67,13,100
67,5,100
68,7,100
68,6,100
68,14,100
69,4,100
69,1,100
69,2,100
70,3,100
70,12,100
71,14,100
71,15,100
72,10,100
72,11,100
73,9,100
73,7,100
74,5,100
74,8,100
74,12,100
75,6,100
75,3,100
75,13,100
76,1,100
76,2,100
76,15,100
77,4,100
77,9,100
77,10,100
77,11,100
77,14,100
78,7,100
78,3,100
78,6,100
78,12,100
79,8,100
79,5,100
79,13,100
79,14,100
80,10,100
80,1,100
80,15,100
80,4,100
81,11,100
81,12,100
81,9,100
82,3,100
82,7,100
82,5,100
82,13,100
83,1,100
83,15,100
83,7,100
84,10,100
84,4,100
85,6,100
85,14,100
86,3,100
86,13,100
86,5,100
87,12,100
87,9,100
87,4,100
87,6,100
88,12,100
88,7,100
89,6,100
89,1,100
90,5,100
90,4,100
90,11,100
90,15,100
91,10,100
91,3,100
91,9,100
91,7,100
92,14,100
92,12,100
92,2,100
92,13,100
93,8,100
93,4,100
94,10,100
94,13,100
95,5,100
95,8,100
95,7,100
96,1,100
96,3,100
96,13,100
97,8,100
97,5,100
98,7,100
98,10,100
98,6,100
98,1,100
99,3,100
99,4,100
99,15,100
99,6,100
100,14,100
100,11,100
100,2,100
100,12,100
