Choice_id,Choice_txt,Is_correct,Quest_id
1,A specific instance of a class,1,1
2,A function in a class,0,1
3,A variable in a class,0,1
4,A class constructor,0,1
5,Binding data and methods that operate on the data,1,2
6,Inheriting properties from a parent class,0,2
7,Creating multiple instances of a class,0,2
8,Hiding implementation details from the user,0,2
9,The ability of a class to have multiple parent classes,0,3
10,The ability of a class to inherit properties and behavior from another class,1,3
11,The ability of a class to override methods from its parent class,0,3
12,The ability of a class to have private members,0,3
13,The ability of a class to have multiple forms or behaviors,1,4
14,The ability of a class to be instantiated,0,4
15,The ability of a class to have private members,0,4
16,The ability of a class to override methods,0,4
17,A method that creates an instance of a class,1,5
18,A method that destroys an instance of a class,0,5
19,A method that is used to update class properties,0,5
20,A method that is inherited from a parent class,0,5
21,A blueprint for creating objects,1,6
22,A function in a program,0,6
23,A specific instance of an object,0,6
24,A variable in a program,0,6
25,A function that belongs to a class,1,7
26,A variable that belongs to a class,0,7
27,A function that is independent of any class,0,7
28,A variable that is independent of any class,0,7
29,A design technique to model has-a relationships,1,8
30,A design technique to model is-a relationships,0,8
31,A design technique to create multiple instances of a class,0,8
32,A design technique to create parent-child relationships,0,8
33,A method that can be called without an instance of the class,1,9
34,A method that can only be called by a subclass,0,9
35,A method that cannot access class-level variables,0,9
36,A method that cannot access instance-level variables,0,9
37,Defining multiple methods with the same name but different parameters,1,10
38,Defining multiple methods with different names,0,10
39,Defining multiple methods with the same name and same parameters,0,10
40,Defining a method inside another method,0,10
41,Providing a new implementation for a method inherited from a parent class,1,11
42,Hiding the implementation of a method,0,11
43,Defining multiple methods with the same name but different parameters,0,11
44,Defining a method inside another method,0,11
45,A method that destroys an instance of a class,1,12
46,A method that creates an instance of a class,0,12
47,A method that updates class properties,0,12
48,A method that is inherited from a parent class,0,12
49,A function that can access private members of a class,1,13
50,A function that is defined inside a class,0,13
51,A function that can be called without an instance of the class,0,13
52,A function that is inherited from a parent class,0,13
53,A function that is defined in a base class and can be overridden by a subclass,1,14
54,A function that can access private members of a class,0,14
55,A function that is defined inside a class,0,14
56,A function that is inherited from a parent class,0,14
57,A virtual function that is not implemented in the base class,1,15
58,A virtual function that is automatically called when an object is created,0,15
59,A virtual function that is automatically called when an object is destroyed,0,15
60,A virtual function that is inherited from a parent class,0,15
61,True,0,16
62,False,1,16
63,True,0,17
64,False,1,17
65,True,0,18
66,False,1,18
67,True,0,19
68,False,1,19
69,True,0,20
